Year of Birth	Gender	Ethnicity	Child's First Name	Count	Rank
2016	FEMALE	HISPANIC	Luna	57	33
2016	FEMALE	HISPANIC	Elizabeth	57	33
2016	FEMALE	HISPANIC	Aaliyah	56	34
2016	FEMALE	HISPANIC	Zoey	55	35
2016	FEMALE	HISPANIC	Gianna	55	35
2016	FEMALE	HISPANIC	Amy	52	36
2016	FEMALE	HISPANIC	Daniela	52	36
2016	FEMALE	HISPANIC	Nicole	51	37
2016	FEMALE	HISPANIC	Sarah	49	38
2016	FEMALE	HISPANIC	Juliette	49	38
2016	FEMALE	HISPANIC	Jade	48	39
2016	FEMALE	HISPANIC	Charlotte	48	39
2016	FEMALE	HISPANIC	Mila	48	39
2016	FEMALE	HISPANIC	Kylie	46	40
2016	FEMALE	HISPANIC	Katherine	46	40
2016	FEMALE	HISPANIC	Bella	45	41
2016	FEMALE	HISPANIC	Grace	44	42
2016	FEMALE	HISPANIC	Riley	44	42
2016	FEMALE	HISPANIC	Gabriela	43	43
2016	FEMALE	HISPANIC	Kayla	42	44
2016	FEMALE	HISPANIC	Alyssa	39	45
2016	FEMALE	HISPANIC	Andrea	39	45
2016	FEMALE	HISPANIC	Ana	39	45
2016	FEMALE	HISPANIC	Aubrey	38	46
2016	FEMALE	HISPANIC	Avery	38	46
2016	FEMALE	HISPANIC	Maya	37	47
2016	FEMALE	HISPANIC	Adriana	37	47
2016	FEMALE	HISPANIC	Amaya	37	47
2016	FEMALE	HISPANIC	Kiara	36	48
2016	FEMALE	HISPANIC	Evelyn	36	48
2016	FEMALE	HISPANIC	Natalia	36	48
2016	FEMALE	HISPANIC	Aria	35	49
2016	FEMALE	HISPANIC	Khloe	35	49
2016	FEMALE	HISPANIC	Savannah	35	49
2016	FEMALE	HISPANIC	Alice	34	50
2016	FEMALE	HISPANIC	Valeria	34	50
2016	FEMALE	HISPANIC	Emely	33	51
2016	FEMALE	HISPANIC	Serenity	33	51
2016	FEMALE	HISPANIC	Isabel	32	52
2016	FEMALE	HISPANIC	Elena	32	52
2016	FEMALE	HISPANIC	Amber	32	52
2016	FEMALE	HISPANIC	Natalie	32	52
2016	FEMALE	HISPANIC	Melissa	32	52
2016	FEMALE	HISPANIC	Leslie	32	52
2016	FEMALE	HISPANIC	Diana	31	53
2016	FEMALE	HISPANIC	Stephanie	31	53
2016	FEMALE	HISPANIC	Angelina	31	53
2016	FEMALE	HISPANIC	Ximena	30	54
2016	FEMALE	HISPANIC	Skylar	30	54
2016	FEMALE	HISPANIC	Emilia	30	54
2016	FEMALE	HISPANIC	Keyla	29	55
2016	FEMALE	HISPANIC	Michelle	29	55
2016	FEMALE	HISPANIC	Mya	28	56
2016	FEMALE	HISPANIC	Eliana	28	56
2016	FEMALE	HISPANIC	Naomi	28	56
2016	FEMALE	HISPANIC	Eva	27	57
2016	FEMALE	HISPANIC	Jazlyn	27	57
2016	FEMALE	HISPANIC	Mariana	27	57
2016	FEMALE	HISPANIC	Aylin	27	57
2016	FEMALE	HISPANIC	Chelsea	27	57
2016	FEMALE	HISPANIC	Ella	27	57
2016	FEMALE	HISPANIC	Kaitlyn	27	57
2016	FEMALE	HISPANIC	Sarai	26	58
2016	FEMALE	HISPANIC	Delilah	26	58
2016	FEMALE	HISPANIC	Alana	26	58
2016	FEMALE	HISPANIC	Lia	25	59
2016	FEMALE	HISPANIC	Alina	25	59
2016	FEMALE	HISPANIC	Amanda	25	59
